title,price,description,Año de fabricación,Kilometraje,Transmisión,Combustible,Cilindrada,Placa,Categoría,Marca,Modelo,Número de puertas,Tracción,Color,Número cilindros,link
Mitsubishi Asx 2022,22500.0,"Versión GLS 4x2. Cuenta con 07 airbags, control de asistencia en pendiente, control electrónico de estabilidad (ESP), luces led con sensores automáticos. Impecable, sin ningún rasguño ni detalle en pintura ni aros. Precio negociable en persona.",2022,4400.0,Automática,Gasolina,2000.0,Par,Camionetas Suv,Mitsubishi,ASX,5,4x2,Plata Perla,4,https://neoauto.com/auto/usado/mitsubishi-asx-2022-1688512
Hyundai Santa Fe 2012,12900.0,"Hyundai Santafe, 4WD, año 2012, recorrido 107,000kms, motor 2.4lt 4 cilindros, transmisión automática secuencial, sistema de Gas GLP 5ta categoría, 3 filas de asientos, cabeceras con pantallas, radio MP3 con bluetooth, cámara de retroceso y sensores Ver más",2012,107000.0,Automática - Secuencial,Dual,2400.0,Impar,Camionetas Suv,Hyundai,SANTA FE,5,4WD,Gris huracan,4,https://neoauto.com/auto/usado/hyundai-santa-fe-2012-1688499
Mitsubishi Asx 2017,16000.0,"Camioneta excelente estado,mantenimientos en concesionario ,papeles listo para transferencia,dueña vende por viaje",2017,43000.0,Automática - Secuencial,Gasolina,2000.0,Par,Camionetas Suv,Mitsubishi,ASX,5,4x2,Guinda,4,https://neoauto.com/auto/usado/mitsubishi-asx-2017-1688492
Volkswagen Cc 2015,16000.0,"Auto excelente estado,todos los mantenimientos en concesionario de la marca,papeles en regla listo para transferir",2015,55000.0,Automática - Secuencial,Gasolina,1800.0,Impar,Sedan,Volkswagen,CC,4,Delantera,Negro,4,https://neoauto.com/auto/usado/volkswagen-cc-2015-1688490
Hyundai I20 2022,14900.0,"Hyundai i20 mecánico , KM 24000, motor 1.2cc super económico, año 2022, 6 bolsas de aire, Aire acondicionado,cargador inalámbrico, aros de aleación,sunroof, espejos abatibles electricos, pantalla, cámara de retroceso, frenos ABS, NEGOCIABLE TELF [***...Ver más",2022,24000.0,Mecánica,Gasolina,1200.0,Impar,Hatchback,Hyundai,I20,5,Delantera,Azul,4,https://neoauto.com/auto/usado/hyundai-i20-2022-1688489
Nissan Versa 2023,18900.0,"Vehiculo Nuevo de tienda, sin uso, permiso de lunas polarizadas, full equipo, camara de retroceso, sensores de retroceso, alarma y todos los sistemas de seguridad, Bi Combustible GNV 5ta generación. Whatssap/Telefono: Nueve,cuatro,Nueve, veintidós, d...Ver más",2023,1500.0,Automática,Dual,1600.0,Par,Sedan,Nissan,VERSA,4,Delantera,Plata,4,https://neoauto.com/auto/usado/nissan-versa-2023-1673265
Nissan Pathfinder 2000,5500.0,Se vende CAMIONETA SUV 4X4 en excelente estado. Tlf: [****]/ [****]. PRECIO NEGOCIABLE,2000,180026.0,Mecánica,Dual,3300.0,Impar,Camionetas Suv,Nissan,PATHFINDER,5,4x4,Negro,6,https://neoauto.com/auto/usado/nissan-pathfinder-2000-1688456
Bmw 320i 2015,19500.0,"Uso ejecutivo, único dueño. Full equipo. Libre de gastos de mantenimiento hasta el 2023. Llantas nuevas compradas este año.",2015,59000.0,Automática - Secuencial,Gasolina,2000.0,Par,Sedan,Bmw,320i,4,,Marrón Perlado,4,https://neoauto.com/auto/usado/bmw-320i-2015-1670962
Ford Focus 2017,14000.0,"Ford Focus Titanium 2.0 (Full Equipo) 2017 con asientos e interiores de cuero, 6 Airbags, lunas polarizadas, Aro 17, Sistema de estacionamiento Automático, Equipo de Sonido Sony, en excelente estado. Precio negociable, escribanme para conversarlo.",2017,54000.0,Automática,Gasolina,2000.0,Par,Sedan,Ford,FOCUS,4,Delantera,Blanco,5,https://neoauto.com/auto/usado/ford-focus-2017-1660954
Kia Sorento 2006,9500.0,"Camioneta en exelente estado usó particular, papeles en regla listo para la transferencia,Cuenta con permiso de lunas polarizadas,soat hasta el otro año noviembre ",2006,141000.0,Automática,Gasolina,3497.0,Impar,Camionetas Suv,Kia,SORENTO,4,4x4,Negro,6,https://neoauto.com/auto/usado/kia-sorento-2006-1688403
Jeep Cherokee Sport 2012,16000.0,JEEP CHEROKEE SPORT AÑO 20212 AUTOMATICO CAMIONETA 4x4 SISTEMA DUAL GLP GASOLINA ASIENTOS DE CUERO PERSONALIZADOS DE USO PERSONAL SE VENDE DE OCASION POR VIAJE,2012,103000.0,Automática,Gas GLP,3800.0,Par,Camionetas Suv,Jeep,CHEROKEE SPORT,4,4x4,Plata Perla,6,https://neoauto.com/auto/usado/jeep-cherokee-sport-2012-1688396
Renault Koleos 2015,14000.0,"Auto en excelente estado, Renault modelo Koleos 2015 automatica, motor 2.5 el mismo que trae el nissan x-trail. Gasolina / glp 5ta generación con tanque toroidal, papeles en regla soat/rtv, seguro contra todo riesgo. Versión con Sun roof Panorámico, Ver más",2015,67000.0,Automática - Secuencial,Dual,2500.0,Par,Camionetas Suv,Renault,KOLEOS,5,4x2,Blanco,4,https://neoauto.com/auto/usado/renault-koleos-2015-1688386
Nissan Qashqai 2012,13500.0,"Vendo mi camioneta SUV Nissan Qashqai 4X2, automática, color rojo perlado, poco recorrido (48,000 km.), año fab. 2011, mod. 2012. ( Unica dueña) Ver en Miraflores, interesados por favor llamar [****] o [****]. Precio a tratar UD$ 13,500",2012,48000.0,Automática,Gasolina,,Par,Camionetas Suv,Nissan,QASHQAI,5,,,4,https://neoauto.com/auto/usado/nissan-qashqai-2012-1688374
Honda Cr-v 2013,17000.0,"VENDO HONDA CR-V 4x4 ÚNICO DUEÑO, AUTOMÁTICA, MANTENIMIENTO RECIÉN REALIZADO, ASIENTOS DE CUERO, CÁMARA DE RETROCESO Y LLANTAS NUEVAS.",2013,75000.0,Automática,Gasolina,2400.0,Par,Camionetas Suv,Honda,CR-V,4,,,,https://neoauto.com/auto/usado/honda-cr-v-2013-1688370
Chevrolet Tracker 2016,13000.0,"Camioneta en excelente estado, único dueño, uso particular, poco kilometraje, lunas y pestillos electricos con cierre centralizado, se vende por viaje. Precio a tratar ",2016,40000.0,Mecánica,Gasolina,1796.0,Par,Camionetas Suv,Chevrolet,TRACKER,5,4x2,Rojo,4,https://neoauto.com/auto/usado/chevrolet-tracker-2016-1688353
Mazda 3 2014,11800.0,"Mazda 3 / Año 2013 / motor 1.6 / excelente estado / Kilometraje 48600. Computadora abordo, velocidad crucero mandos en el timón, Aros de aleación, Parlantes JBL, asientos de cuero originales, todos los mantenimientos en DERCO. Único dueño",2014,48600.0,Automática - Secuencial,Gasolina,1600.0,Impar,Sedan,Mazda,3,5,,Rojo,,https://neoauto.com/auto/usado/mazda-3-2014-1676751
Audi Q5 2013,16000.0,"Camioneta en excelente estado , se vende por motivos de viaje ",2013,143000.0,Automática - Secuencial,Gasolina,,Impar,Camionetas Suv,Audi,Q5,4,Quattro,Azul,4,https://neoauto.com/auto/usado/audi-q5-2013-1688347
Hyundai Tucson 2012,13500.0,"HYUNDAI TUCSON 2012 CONSERVADISIMA AUTOMATICA SECUENCIAL 4X2 FULL EQUIPO AIRE ACONDICIONADO TIMON HIDRAULICO PESTILLOS, ESPEJOS Y LUNAS ELECTRICAS AROS DE ALEACION",2012,82400.0,Automática - Secuencial,Gasolina,2000.0,Par,Camionetas Suv,Hyundai,TUCSON,5,4x2,Gris Oscuro,4,https://neoauto.com/auto/usado/hyundai-tucson-2012-1688343
Bmw X1 2011,13900.0,"Auto en excelentes condiciones, full equipo, papeles en regla, SOAT y revisión técnica recién pasados en noviembre 2022, mantenimiento regular efectuado en mayo 2022, asientos de cuero, sistema eléctrico full. Se vende viaje de trabajo.",2011,98900.0,Automática,Gasolina,1995.0,Impar,Camionetas Suv,Bmw,X1,4,4x2,Plata,4,https://neoauto.com/auto/usado/bmw-x1-2011-1688337
Mercedes Benz Cla 180 2019,26900.0,Única dueña. Servicios en Divemotor. Muy buen conservado. Precio ligeramente negociable. ,2019,15000.0,Automática - Secuencial,Gasolina,1600.0,Impar,Sedan,Mercedes Benz,CLA 180,4,Delantera,Blanco,4,https://neoauto.com/auto/usado/mercedes-benz-cla-180-2019-1688334
Chery Tiggo 7 2020,15700.0,"Remato por viaje SUV Tiggo 7 en perfecto estado, uso particular caja mecánica, espejos y lunas electricas, sun roof panorámico, control crucero, asientos de cuero tipo butaca, sensor de presión en llantas, arranque en pendiente, Pantalla LED 9"" , arr...Ver más",2020,49000.0,Mecánica,Gasolina,1500.0,Par,Camionetas Suv,Chery,TIGGO 7,5,4x2,Rojo,4,https://neoauto.com/auto/usado/chery-tiggo-7-2020-1657781
Volkswagen Bora 2013,10900.0,"USO DAMA - OCASIÓN: Elegante VW BORA 2.0 TRENDLINE TIP, automático; uso ejecutivo, uso de dama. En buen estado, bien cuidado. Cuenta con lunas polarizadas, asientos de cuero, A/C , sunroof, pantalla táctil, cámara de retroceso. Color azul tempestad. Ver más",2013,85400.0,Automática,Gasolina,2000.0,Par,Sedan,Volkswagen,BORA,4,Delantera,Azul,4,https://neoauto.com/auto/usado/volkswagen-bora-2013-1688303
