,price,Año de fabricación,Kilometraje,Transmisión,Combustible,Cilindrada,Categoría,Marca,Tracción,Número cilindros,link,cluster
417,14200.0,2016.0,30000.0,Mecánica,Gasolina,2000.0,Sedan,Kia,4x2,4.0,https://neoauto.com/auto/usado/kia-cerato-2016-1684419,1
418,16400.0,2022.0,1000.0,Mecánica,Gasolina,2000.0,Sedan,Toyota,4x2,4.0,https://neoauto.com/auto/usado/toyota-yaris-2022-1684420,3
419,13600.0,2021.0,10000.0,Mecánica,Gasolina,2000.0,Hatchback,Suzuki,4x2,4.0,https://neoauto.com/auto/usado/suzuki-swift-2021-1684422,3
420,17000.0,2015.0,73481.0,Automática,Gasolina,2000.0,Sedan,Audi,4x2,4.0,https://neoauto.com/auto/usado/audi-a3-sedan-2015-1684423,1
421,21700.0,2018.0,50000.0,Mecánica,Gasolina,2000.0,Camionetas Suv,Nissan,4x2,4.0,https://neoauto.com/auto/usado/nissan-qashqai-2018-1684426,2
422,22100.0,2020.0,22421.0,Automática,Gasolina,2000.0,Hatchback,Mazda,4x2,4.0,https://neoauto.com/auto/usado/mazda-3-2020-1684429,2
423,18000.0,2017.0,57000.0,Automática,Gasolina,2000.0,Camionetas Suv,Subaru,AWD,4.0,https://neoauto.com/auto/usado/subaru-new-xv-2017-1684430,1
424,19300.0,2017.0,61000.0,Automática,Gasolina,2000.0,Camionetas Suv,Mazda,4x2,4.0,https://neoauto.com/auto/usado/mazda-cx-5-2017-1684433,1
425,25300.0,2021.0,24596.0,Mecánica,Gas GLP,2000.0,Camionetas Suv,Hyundai,4x2,4.0,https://neoauto.com/auto/usado/hyundai-tucson-2021-1684435,2
426,17400.0,2014.0,97000.0,Automática,Gasolina,2000.0,Camionetas Suv,Toyota,4x2,4.0,https://neoauto.com/auto/usado/toyota-rav4-2014-1684438,1
427,31300.0,2018.0,59506.0,Automática,Gasolina,2000.0,Camionetas Suv,Honda,4x2,4.0,https://neoauto.com/auto/usado/honda-pilot-2018-1684440,2
428,12900.0,2014.0,53500.0,Mecánica,Gasolina,2000.0,Deportivo,Kia,4x2,4.0,https://neoauto.com/auto/usado/kia-cerato-koup-2014-1684442,1
429,19300.0,2015.0,81425.0,Automática,Gasolina,2000.0,Camionetas Suv,Honda,4x2,4.0,https://neoauto.com/auto/usado/honda-cr-v-2015-1684444,1
430,22100.0,2022.0,5500.0,Mecánica,Gasolina,2000.0,Camionetas Suv,Nissan,4x2,4.0,https://neoauto.com/auto/usado/nissan-kicks-2022-1684448,2
431,15600.0,2020.0,39600.0,Mecánica,Gasolina,2000.0,Sedan,Nissan,4x2,4.0,https://neoauto.com/auto/usado/nissan-sentra-2020-1684449,3
432,23600.0,2022.0,11413.0,Mecánica,Gasolina,2000.0,Sedan,Mazda,4x2,4.0,https://neoauto.com/auto/usado/mazda-3-2022-1684450,2
